INFO  - 2018-07-15 14:26:45.003; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2018-07-15 14:26:45.016; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/contexts at interval 0
INFO  - 2018-07-15 14:26:45.019; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2018-07-15 14:26:45.056; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/webapps/solr.war!/ to /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2018-07-15 14:26:45.998; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2018-07-15 14:26:46.038; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2018-07-15 14:26:46.074; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2018-07-15 14:26:46.075; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2018-07-15 14:26:46.075; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2018-07-15 14:26:46.168; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/solr.xml
INFO  - 2018-07-15 14:26:46.223; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr
INFO  - 2018-07-15 14:26:46.239; org.apache.solr.core.CoreContainer; New CoreContainer 1052768296
INFO  - 2018-07-15 14:26:46.240; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2018-07-15 14:26:46.248; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2018-07-15 14:26:46.248; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2018-07-15 14:26:46.251; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2018-07-15 14:26:46.253; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2018-07-15 14:26:46.253; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2018-07-15 14:26:46.254; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2018-07-15 14:26:46.254; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2018-07-15 14:26:46.254; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2018-07-15 14:26:46.255; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2018-07-15 14:26:46.255; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2018-07-15 14:26:46.338; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2018-07-15 14:26:46.340; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2018-07-15 14:26:46.340; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2018-07-15 14:26:46.341; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2018-07-15 14:26:46.362; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr
INFO  - 2018-07-15 14:26:46.367; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/
INFO  - 2018-07-15 14:26:46.368; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2018-07-15 14:26:46.369; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/'
INFO  - 2018-07-15 14:26:46.422; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2018-07-15 14:26:46.423; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.424; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.424; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2018-07-15 14:26:46.424; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.425; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2018-07-15 14:26:46.425; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.425; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
